source_network,network,station_id,station_name,latitude,longitude,elevation_m,start_date,actual_start_date,end_date,n_years,IGBP,lc_cci,koppen_geiger,has_soil_moisture,has_flux,location_group_id,split,oot_eligible,oost_eligible,joint_eval,flux_only_eval,ablation_train,ablation_oos,kg_macro,igbp_macro,elevation_band,soil_nan_pct,soil_patch_ok,same_patch_pair,tile_pair_eval,duplicate_of
ISMN,ARM,Morrison,Morrison,36.37354,-97.06905,279.0,20160101,20151001,20251230,10.2,GRA,130.0,Cfa,True,False,9,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0002,True,False,False,
ISMN,ARM,Newkirk,Newkirk,36.926,-97.082,357.0,20160224,20160224,20251230,9.8,GRA,130.0,Cfa,True,False,10,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Omega,Omega,35.88,-98.173,371.0,20160101,20140101,20210606,7.4,CRO,10.0,Cfa,True,False,11,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Pawhuska,Pawhuska,36.841,-96.427,331.0,20160305,20160305,20251230,9.8,GRA,130.0,Cfa,True,False,12,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Ringwood,Ringwood,36.431,-98.284,418.0,20160302,20160302,20230928,7.6,GRA,130.0,Cfa,True,False,13,train,True,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Tryon,Tryon,35.8615,-97.0695,294.0,20160303,20160303,20230928,7.6,GRA,130.0,Cfa,True,False,14,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0016,True,False,False,
ISMN,ARM,Tyro,Tyro,37.068,-95.788,248.0,20160101,20160101,20251230,10.0,GRA,130.0,Cfa,True,False,15,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0005,True,False,False,
ISMN,ARM,Waukomis,Waukomis,36.311,-97.928,379.0,20160101,20140101,20251230,12.0,GRA,130.0,Cfa,True,False,16,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,Berlin,DWDBerlin-Spaeth,DWDBerlin-Spaeth,52.45366,13.4577,9.0,20211001,20211001,20251230,4.2,URB,190.0,Dfb,True,False,17,oos,False,True,False,False,False,True,D,Other,Low,0.004,True,False,False,
ISMN,Berlin,DWDBerlinTempel,DWDBerlinTempel,52.45388,13.4312,4.0,20220629,20220629,20251230,3.5,URB,190.0,Dfb,True,False,17,oos,False,True,False,False,False,True,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA14wiltinger,PSA14wiltinger,52.63489,13.28991,85.0,20221129,20221129,20251230,3.0,URB,190.0,Dfb,True,False,18,train,True,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA15bucherchaus,PSA15bucherchaus,52.62005,13.48854,49.0,20221129,20221129,20251230,3.1,URB,190.0,Dfb,True,False,19,train,True,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA16krugwiesen,PSA16krugwiesen,52.56089,13.52688,91.0,20221129,20221129,20251230,3.1,URB,190.0,Dfb,True,False,20,train,True,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA17suedpark,PSA17suedpark,52.40145,13.51,63.0,20221129,20221129,20251230,3.1,CRO,10.0,Dfb,True,False,21,train,True,False,False,False,False,False,D,Grass-Crop,Low,0.0,True,False,False,
ISMN,Berlin,PSA18Pfaueninsel,PSA18Pfaueninsel,52.43147,13.12135,57.0,20221129,20221129,20251230,3.1,ENF,70.0,Dfb,True,False,22,train,True,False,False,False,False,False,D,Forest,Low,0.4173,True,False,False,
ISMN,Berlin,PSA1BerlinerStr,PSA1BerlinerStr,52.43899,13.2726,89.0,20201125,20201125,20240414,3.4,URB,190.0,Dfb,True,False,23,val,False,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA2Tiergarten,PSA2Tiergarten,52.51474,13.36619,46.0,20201125,20201125,20251230,5.1,URB,190.0,Dfb,True,False,24,train,True,False,False,False,False,False,D,Other,Low,0.0002,True,False,False,
ISMN,Berlin,PSA4Heerstrasse,PSA4Heerstrasse,52.50821,13.24764,5.0,20201125,20201125,20240326,3.3,URB,190.0,Dfb,True,False,25,train,True,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,Berlin,PSA6Plaenterwald,PSA6Plaenterwald,52.47629,13.48714,21.0,20201127,20201127,20251230,5.1,URB,190.0,Dfb,True,False,26,train,True,False,False,False,False,False,D,Other,Low,0.0447,True,False,False,
ISMN,Berlin,PSA7Ruebezahl,PSA7Ruebezahl,52.42399,13.6251,28.0,20201127,20201127,20250527,4.5,ENF,70.0,Dfb,True,False,27,val,False,False,False,False,False,False,D,Forest,Low,0.1843,True,False,False,
ISMN,Berlin,PflABerlin11Humb,PflABerlin11Humb,52.54434,13.38112,99.0,20221115,20221115,20251230,3.1,URB,190.0,Dfb,True,False,28,train,True,False,False,False,False,False,D,Other,Low,0.0002,True,False,False,
ISMN,Berlin,PflABerlin12Schi,PflABerlin12Schi,52.50847,13.42852,93.0,20221115,20221115,20251230,3.1,URB,190.0,Dfb,True,False,29,train,True,False,False,False,False,False,D,Other,Low,0.0049,True,False,False,
ISMN,Berlin,PflABerlin13Marz,PflABerlin13Marz,52.54064,13.57653,17.0,20221115,20221115,20251230,3.1,URB,190.0,Dfb,True,False,30,train,True,False,False,False,False,False,D,Other,Low,0.0,True,False,False,
ISMN,COSMOS,KLEE,KLEE,0.2825,36.8669,1824.0,20160101,20140101,20180428,4.3,MF,40.0,Aw,True,False,31,train,False,False,False,False,False,False,A,Forest,High,0.0,True,False,False,
ISMN,COSMOS-UK,AliceHolt,AliceHolt,51.15355,-0.85823,80.0,20160101,20150306,20221231,7.8,DBF,60.0,Cfb,True,False,32,train,False,False,False,False,False,False,C,Forest,Low,0.0004,True,False,False,
ISMN,COSMOS-UK,Balruddery,Balruddery,56.4823,-3.11149,130.0,20160101,20150125,20190129,4.0,CRO,10.0,Cfb,True,False,33,val,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,BickleyHall,BickleyHall,53.02635,-2.70053,78.0,20160101,20150128,20221231,7.9,GRA,130.0,Cfb,True,False,34,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0089,True,False,False,
ISMN,COSMOS-UK,BunnyPark,BunnyPark,52.86073,-1.12685,39.0,20160101,20150127,20221231,7.9,CRO,10.0,Cfb,True,False,35,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Cardington,Cardington,52.1056,-0.42464,29.0,20160101,20150624,20220624,7.0,CRO,10.0,Cfb,True,False,36,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,ChimneyMeadows,ChimneyMeadows,51.70802,-1.47877,65.0,20160101,20140101,20190927,5.7,GRA,130.0,Cfb,True,False,37,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Cochno,Cochno,55.94142,-4.40354,168.0,20170824,20170824,20201114,3.2,GRA,130.0,Cfb,True,False,38,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0022,True,False,False,
ISMN,COSMOS-UK,CwmGarw,CwmGarw,51.95136,-4.74658,299.0,20170205,20170205,20201024,3.7,GRA,130.0,Cfb,True,False,39,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Elmsett,Elmsett,52.09465,0.99307,76.0,20160811,20160811,20191212,3.3,CRO,10.0,Cfb,True,False,40,train,False,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Euston,Euston,52.33639,0.79592,18.0,20190610,20190610,20221231,3.6,CRO,10.0,Cfb,True,False,41,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Fincham,Fincham,52.61777,0.51073,15.0,20170607,20170607,20221231,5.6,CRO,10.0,Cfb,True,False,42,val,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Fivemiletown,Fivemiletown,54.2985,-7.29186,174.0,20180626,20180626,20221231,4.5,GRA,130.0,Cfb,True,False,43,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,HartwoodHome,HartwoodHome,55.81026,-3.82896,225.0,20170223,20170223,20220725,5.4,GRA,130.0,Cfb,True,False,44,val,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Heytesbury,Heytesbury,51.20289,-2.0796,166.0,20180808,20180808,20220730,4.0,GRA,130.0,Cfb,True,False,45,train,False,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,HollinHill,HollinHill,54.11068,-0.95952,82.0,20180512,20180512,20220212,3.7,CRO,10.0,Cfb,True,False,46,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,HolmeLacy,HolmeLacy,52.02088,-2.66211,76.0,20180411,20180411,20221231,4.7,CRO,10.0,Cfb,True,False,47,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Loddington,Loddington,52.61016,-0.82642,186.0,20160426,20160426,20190826,3.3,CRO,10.0,Cfb,True,False,48,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,LullingtonHeath,LullingtonHeath,50.79372,0.18887,119.0,20181104,20181104,20220204,3.2,DBF,60.0,Cfb,True,False,49,train,False,False,False,False,False,False,C,Forest,Low,0.0,True,False,False,
ISMN,COSMOS-UK,MoretonMorrell,MoretonMorrell,52.19941,-1.56308,53.0,20181116,20181116,20221231,4.1,GRA,130.0,Cfb,True,False,50,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Morley,Morley,52.54815,1.03423,55.0,20160101,20140514,20220517,8.0,CRO,10.0,Cfb,True,False,51,train,False,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,PortonDown,PortonDown,51.11988,-1.68125,146.0,20160101,20141218,20181128,3.9,GRA,130.0,Cfb,True,False,52,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Redhill,Redhill,51.26287,0.42914,91.0,20160218,20160218,20211203,5.8,GRA,130.0,Cfb,True,False,53,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Redmere,Redmere,52.44577,0.42104,3.0,20160101,20150210,20180918,3.6,GRA,130.0,Cfb,True,False,54,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0042,True,False,False,
ISMN,COSMOS-UK,Rothamsted,Rothamsted,51.81387,-0.37832,131.0,20170128,20170128,20221231,5.9,CRO,10.0,Cfb,True,False,55,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Sheepdrove,Sheepdrove,51.53032,-1.48187,170.0,20160101,20140101,20221231,8.9,CRO,10.0,Cfb,True,False,56,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,SpenFarm,SpenFarm,53.86886,-1.31886,57.0,20161123,20161123,20201121,4.0,CRO,10.0,Cfb,True,False,57,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Stoughton,Stoughton,52.60164,-1.04701,130.0,20160101,20150819,20210603,5.8,CRO,10.0,Cfb,True,False,58,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Waddesdon,Waddesdon,51.83948,-0.94842,98.0,20160101,20140101,20180806,4.6,GRA,130.0,Cfb,True,False,59,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,COSMOS-UK,Writtle,Writtle,51.734,0.4179,44.0,20170704,20170704,20221231,5.5,CRO,10.0,Cfb,True,False,60,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,CW3E,BoyesCreekCanyon,BoyesCreekCanyon,39.34053,-123.16349,350.0,20211201,20211201,20251230,4.0,GRA,130.0,Csa,True,False,61,train,True,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,CW3E,BrownsValleySchool,BrownsValleySchool,39.23586,-121.40621,71.0,20210414,20210414,20251230,4.7,GRA,130.0,Csa,True,False,62,train,True,False,False,False,True,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,CW3E,Deerwood,Deerwood,39.19757,-123.15985,280.0,20171006,20171006,20251218,8.1,GRA,130.0,Csa,True,False,63,oos,False,True,False,False,False,False,C,Grass-Crop,Low,0.1103,True,False,False,
ISMN,CW3E,FeatherRiverCollege,FeatherRiverCollege,39.94597,-120.96972,1047.0,20191118,20191118,20240319,4.3,GRA,130.0,Csb,True,False,64,train,True,False,False,False,False,False,C,Grass-Crop,Mid,0.0,True,False,False,
ISMN,CW3E,NorthCowMountain,NorthCowMountain,39.17967,-123.08009,1041.0,20171007,20171007,20250917,7.9,GRA,130.0,Csa,True,False,65,oos,False,True,False,False,False,True,C,Grass-Crop,Mid,0.0,True,False,False,
ISMN,CW3E,PotterValleyNorth,PotterValleyNorth,39.36141,-123.11312,410.0,20190308,20190308,20250210,5.9,SAV,120.0,Csa,True,False,66,val,False,False,False,False,False,False,C,Shrub-Savanna,Low,0.0007,True,False,False,
ISMN,CW3E,SkylineHarvest,SkylineHarvest,39.47095,-121.09175,836.0,20200731,20200731,20251230,5.4,ENF,70.0,Csb,True,False,67,oos,False,True,False,False,False,False,C,Forest,Mid,0.0,True,False,False,
ISMN,CW3E,YucaipaValley,YucaipaValley,34.0074,-117.0916,641.0,20221202,20221202,20251230,3.1,SAV,120.0,BSk,True,False,69,oos,False,True,False,False,False,True,B,Shrub-Savanna,Mid,0.0,True,False,False,
ISMN,FLUXNET-AMERIFLUX,BouldinIslandAlfalfa,BouldinIslandAlfalfa,38.09915,-121.49933,-2.7,20160813,20160813,20191230,3.4,CRO,10.0,Csa,True,False,888,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.1253,True,False,False,
ISMN,FLUXNET-AMERIFLUX,TonziRanch,TonziRanch,38.4316,-120.966,177.0,20170115,20170115,20200211,3.0,GRA,130.0,Csa,True,False,955,oos,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,True,False,
ISMN,FLUXNET-AMERIFLUX,VairaRanch,VairaRanch,38.4133,-120.95073,129.0,20160101,20140101,20200211,6.1,GRA,130.0,Csa,True,False,955,duplicate,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,True,False,US-Var
ISMN,FMI,SAA111,SAA111,68.33019,27.55062,441.0,20200614,20200614,20251230,5.5,SAV,110.0,Dfc,True,False,70,oos,False,True,False,False,False,True,D,Shrub-Savanna,Low,0.0,True,True,False,
ISMN,FMI,SAA112,SAA112,68.33025,27.55076,441.0,20210429,20210429,20240807,3.2,SAV,110.0,Dfc,True,False,70,oos,False,True,False,False,False,True,D,Shrub-Savanna,Low,0.0,True,True,False,
ISMN,FMI,SAA120,SAA120,68.33881,27.53543,381.0,20160313,20160313,20190816,3.4,MF,100.0,Dfc,True,False,70,oos,False,False,False,False,False,True,D,Forest,Low,0.0,True,False,False,
ISMN,FMI,SOD011,SOD011,67.36187,26.63378,179.0,20200614,20200614,20251230,5.5,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0785,True,True,False,
ISMN,FMI,SOD012,SOD012,67.36179,26.63378,179.0,20200614,20200614,20251230,5.5,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0794,True,True,False,
ISMN,FMI,SOD013,SOD013,67.36195,26.63378,179.0,20160101,20140105,20190816,5.5,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0798,True,True,False,
ISMN,FMI,SOD071,SOD071,67.35687,26.68492,184.0,20200614,20200614,20251230,5.5,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0,True,True,True,
ISMN,FMI,SOD072,SOD072,67.35693,26.68506,184.0,20220321,20220321,20251230,3.7,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0,True,True,True,
ISMN,FMI,SOD073,SOD073,67.35681,26.68478,184.0,20220321,20220321,20251230,3.7,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0,True,True,True,
ISMN,FMI,SOD081,SOD081,67.38425,26.62529,174.0,20200614,20200614,20251230,5.4,MF,100.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0688,True,True,False,
ISMN,FMI,SOD083,SOD083,67.38431,26.62515,174.0,20211204,20211204,20251230,4.0,MF,100.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0703,True,True,False,
ISMN,FMI,SOD101,SOD101,67.35919,26.68595,186.0,20160101,20140101,20200506,6.3,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0002,True,True,True,
ISMN,FMI,SOD102,SOD102,67.35922,26.68595,186.0,20160101,20140101,20200506,6.3,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0002,True,True,True,
ISMN,FMI,SOD103,SOD103,67.35917,26.68594,186.0,20160101,20140101,20200506,6.3,ENF,70.0,Dfc,True,False,73,val,False,False,False,False,False,False,D,Forest,Low,0.0002,True,True,True,
ISMN,FMI,SOD130,SOD130,67.25729,26.74857,152.0,20160101,20141005,20200506,5.5,ENF,70.0,Dfc,True,False,71,train,False,False,False,False,False,False,D,Forest,Low,0.0237,True,False,False,
ISMN,FMI,SOD140,SOD140,67.15288,26.72914,255.0,20160101,20141006,20190604,4.7,ENF,70.0,Dfc,True,False,72,oos,False,False,False,False,False,False,D,Forest,Low,0.0,True,False,False,
ISMN,FR_Aqui,fraye,fraye,44.467,-0.7269,52.42,20160101,20151207,20190616,3.5,ENF,70.0,Cfb,True,False,74,train,False,False,False,False,True,False,C,Forest,Low,0.0,True,False,False,
ISMN,FR_Aqui,hillan2,hillan2,44.49126,-0.758,53.78,20180714,20180714,20220318,3.7,ENF,70.0,Cfb,True,False,75,train,False,False,False,False,False,False,C,Forest,Low,0.0,True,False,False,
ISMN,FR_Aqui,parcmeteo,parcmeteo,44.7899,-0.5765,24.88,20170724,20170724,20220127,4.5,CRO,10.0,Cfb,True,False,76,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,HOBE,1.05,1.05,56.033,9.1912,80.0,20160101,20140101,20190218,5.1,ENF,70.0,Dfb,True,False,78,oos,False,False,False,False,False,True,D,Forest,Low,0.0,True,False,False,
ISMN,HOBE,1.07,1.07,56.0426,9.1413,60.0,20160101,20140920,20190217,4.4,CRO,10.0,Dfb,True,False,79,train,False,False,False,False,False,False,D,Grass-Crop,Low,0.0,True,False,False,
ISMN,HOBE,2.01,2.01,55.9398,9.2207,63.0,20160101,20140101,20190219,5.1,ENF,70.0,Dfb,True,False,80,train,False,False,False,False,False,False,D,Forest,Low,0.0005,True,False,False,
ISMN,HOBE,2.11,2.11,55.9704,9.0225,40.0,20160101,20140101,20190219,5.1,ENF,70.0,Dfb,True,False,82,train,False,False,False,False,True,False,D,Forest,Low,0.0,True,False,False,
ISMN,HOBE,3.06,3.06,55.9115,8.8831,38.0,20160101,20141110,20190219,4.3,ENF,70.0,Dfb,True,False,83,oos,False,False,False,False,False,False,D,Forest,Low,0.0,True,False,False,
ISMN,LAB-net,OromoCalibrationSite,OromoCalibrationSite,-40.88502,-73.10873,115.0,20160101,20140718,20180325,3.7,CRO,11.0,Cfb,True,False,84,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,LABFLUX,Bussolenobosco,Bussolenobosco,45.1186,7.1625,1100.0,20200703,20200703,20250413,4.8,DBF,60.0,Cfb,True,False,85,train,True,False,False,False,False,False,C,Forest,Mid,0.0,True,False,False,
ISMN,LABFLUX,Nivolet,Nivolet,45.51918,7.17144,2555.0,20190104,20190104,20231030,4.8,CRO,10.0,Dfc,True,False,86,oos,False,True,False,False,False,True,D,Grass-Crop,High,0.0029,True,False,False,
ISMN,MOL-RAO,Falkenberg,Falkenberg,52.16694,14.12417,73.0,20160101,20140101,20200629,6.5,CRO,10.0,Dfb,True,False,87,train,False,False,False,False,False,False,D,Grass-Crop,Low,0.0,True,False,False,
ISMN,NAQU,NQKema,NQKema,31.27209,92.11031,4465.0,20160101,20140913,20180718,3.8,GRA,130.0,Dwc,True,False,88,train,False,False,False,False,False,False,D,Grass-Crop,High,0.0022,True,False,False,
ISMN,NAQU,NQMS,NQMS,31.22623,91.7833,4583.0,20160101,20150603,20180717,3.1,GRA,130.0,Dwc,True,False,89,train,False,False,False,False,False,False,D,Grass-Crop,High,0.0024,True,False,False,
ISMN,NAQU,NQNorth,NQNorth,31.37878,91.86848,4497.0,20160101,20140913,20180718,3.8,GRA,130.0,ET,True,False,90,train,False,False,False,False,True,False,E,Grass-Crop,High,0.0024,True,False,False,
ISMN,NGARI,ALI01,ALI01,33.43287,79.74763,4265.0,20160101,20140906,20180821,4.0,GRA,130.0,BWk,True,False,91,train,False,False,False,False,True,False,B,Grass-Crop,High,0.3658,True,False,False,
ISMN,NGARI,ALI02,ALI02,33.45517,79.63061,4267.0,20160101,20140906,20180412,3.6,WAT,210.0,BWk,True,False,92,oos,False,False,False,False,False,True,B,Other,High,0.0553,True,False,True,
ISMN,NGARI,ALI03,ALI03,33.45402,79.63412,4268.0,20160101,20140906,20180821,4.0,WAT,210.0,BWk,True,False,92,oos,False,False,False,False,False,True,B,Other,High,0.1766,True,False,True,
ISMN,NGARI,SQ19,SQ19,32.62528,80.00139,4647.0,20160812,20160812,20190907,3.1,GRA,130.0,Dsb,True,False,99,val,False,False,False,False,False,False,D,Grass-Crop,High,0.3886,True,False,False,
ISMN,NGARI,SQ20,SQ20,32.68417,79.91861,4695.0,20160812,20160812,20190907,3.1,GRA,130.0,Dsb,True,False,100,train,False,False,False,False,False,False,D,Grass-Crop,High,0.4436,True,False,False,
ISMN,NGARI,SQ21,SQ21,32.74722,79.79694,4606.0,20160812,20160812,20190907,3.1,GRA,130.0,Dsb,True,False,101,train,False,False,False,False,False,False,D,Grass-Crop,High,0.0,True,False,False,
ISMN,REMEDHUS,Canizal,Canizal,41.19603,-5.35997,-99.9,20210120,20210120,20241231,3.9,CRO,20.0,BSk,True,False,103,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,Carretoro,Carretoro,41.26504,-5.38049,-99.9,20160101,20140101,20201211,6.9,CRO,10.0,BSk,True,False,104,train,False,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,CasaPeriles,CasaPeriles,41.39392,-5.32146,-99.9,20160101,20140708,20241231,10.5,CRO,10.0,BSk,True,False,105,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,ConcejodelMonte,ConcejodelMonte,41.3001,-5.24704,-99.9,20210114,20210114,20241231,4.0,CRO,10.0,BSk,True,False,106,oos,False,True,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,ElCoto,ElCoto,41.38134,-5.42922,-99.9,20160706,20160706,20210104,4.5,CRO,10.0,BSk,True,False,107,train,False,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,ElTomillar,ElTomillar,41.34888,-5.49027,-99.9,20210120,20210120,20241231,3.9,CRO,10.0,BSk,True,False,108,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,Granja-g,Granja-g,41.30582,-5.37566,-99.9,20170808,20170808,20241231,7.4,CRO,20.0,BSk,True,False,109,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,Guarrati,Guarrati,41.2892,-5.46713,-99.9,20160101,20150209,20181212,3.8,CRO,20.0,BSk,True,False,110,train,False,False,False,False,True,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,LaCruzdeElias,LaCruzdeElias,41.28546,-5.30003,-99.9,20160101,20140101,20201001,6.7,CRO,10.0,BSk,True,False,112,train,False,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,LasArenas,LasArenas,41.37338,-5.5485,-99.9,20190613,20190613,20241231,5.6,CRO,10.0,BSk,True,False,113,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,REMEDHUS,LasBrozas,LasBrozas,41.44649,-5.3587,-99.9,20180731,20180731,20240414,5.7,CRO,12.0,BSk,True,False,117,train,True,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
